ori_city,dest_city,laneRequest,ship_date,rpm_est_mean
Boston,Edison,zip3:021-zip3:088,"Jan 1, 2023",7.258917434916224
Boston,Edison,zip3:022-zip3:088,"Jan 1, 2023",9.030319454715958
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 1, 2023",4.863798246061836
Atlanta,Dallas,zip3:303-zip3:752,"Jan 1, 2023",4.886874765578828
Atlanta,Dallas,zip3:303-zip3:753,"Jan 1, 2023",4.949050066946786
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 1, 2023",10.897513246689275
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 1, 2023",8.066190513280258
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 1, 2023",4.962546915125083
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 1, 2023",5.157977836673245
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 1, 2023",13.490846250374346
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 1, 2023",8.323568896861932
Chicago,Atlanta,zip3:606-zip3:303,"Jan 1, 2023",8.193177702763439
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 1, 2023",7.023733024971988
Chicago,Chicago,zip3:606-zip3:606,"Jan 1, 2023",28.353538903972886
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 1, 2023",7.7985054525102
Fort Worth,Houston,zip3:761-zip3:770,"Jan 1, 2023",5.926639126642001
Fort Worth,Houston,zip3:761-zip3:772,"Jan 1, 2023",6.020233441226666
Houston,Dallas,zip3:770-zip3:752,"Jan 1, 2023",6.719857632376651
Houston,Dallas,zip3:770-zip3:753,"Jan 1, 2023",6.8785484507217936
Houston,Laredo,zip3:770-zip3:780,"Jan 1, 2023",7.258507508704099
Houston,San Antonio,zip3:770-zip3:782,"Jan 1, 2023",7.449360897070265
Houston,Dallas,zip3:772-zip3:752,"Jan 1, 2023",7.069719166965839
Houston,Dallas,zip3:772-zip3:753,"Jan 1, 2023",7.308528885007881
Houston,Laredo,zip3:772-zip3:780,"Jan 1, 2023",7.365839863402503
Houston,San Antonio,zip3:772-zip3:782,"Jan 1, 2023",8.031384336935076
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 1, 2023",5.280767058236631
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 1, 2023",6.078420103193378
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 1, 2023",5.611835533865256
Boston,Edison,zip3:021-zip3:088,"Jan 2, 2023",7.404890643079107
Boston,Edison,zip3:022-zip3:088,"Jan 2, 2023",8.77718187704089
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 2, 2023",4.991741456073187
Atlanta,Dallas,zip3:303-zip3:752,"Jan 2, 2023",4.024261224006994
Atlanta,Dallas,zip3:303-zip3:753,"Jan 2, 2023",4.107736709952222
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 2, 2023",10.489257006360676
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 2, 2023",7.3840869910869
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 2, 2023",5.3868733788156264
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 2, 2023",4.719792389589398
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 2, 2023",18.00472411754846
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 2, 2023",7.746250932374657
Chicago,Atlanta,zip3:606-zip3:303,"Jan 2, 2023",7.213326273008846
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 2, 2023",7.102623408374421
Chicago,Chicago,zip3:606-zip3:606,"Jan 2, 2023",27.729821159943075
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 2, 2023",7.297078948435006
Fort Worth,Houston,zip3:761-zip3:770,"Jan 2, 2023",5.248042970614071
Fort Worth,Houston,zip3:761-zip3:772,"Jan 2, 2023",5.533882501202232
Houston,Dallas,zip3:770-zip3:752,"Jan 2, 2023",6.020533921629219
Houston,Dallas,zip3:770-zip3:753,"Jan 2, 2023",6.494146242569425
Houston,Laredo,zip3:770-zip3:780,"Jan 2, 2023",6.473735831907993
Houston,San Antonio,zip3:770-zip3:782,"Jan 2, 2023",6.927863101839836
Houston,Dallas,zip3:772-zip3:752,"Jan 2, 2023",6.2046024344775015
Houston,Dallas,zip3:772-zip3:753,"Jan 2, 2023",6.29855274546031
Houston,Laredo,zip3:772-zip3:780,"Jan 2, 2023",6.322105644639499
Houston,San Antonio,zip3:772-zip3:782,"Jan 2, 2023",7.361822491751884
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 2, 2023",4.184838444261432
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 2, 2023",6.126764480409719
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 2, 2023",5.921128687029201
Boston,Edison,zip3:021-zip3:088,"Jan 3, 2023",8.473560875112934
Boston,Edison,zip3:022-zip3:088,"Jan 3, 2023",8.581262969637642
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 3, 2023",4.778677372436384
Atlanta,Dallas,zip3:303-zip3:752,"Jan 3, 2023",4.922549479666058
Atlanta,Dallas,zip3:303-zip3:753,"Jan 3, 2023",5.127698691864607
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 3, 2023",10.375337613502612
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 3, 2023",7.64322117661401
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 3, 2023",5.240475878560703
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 3, 2023",4.5914867694558
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 3, 2023",17.023484325019357
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 3, 2023",7.164743100938892
Chicago,Atlanta,zip3:606-zip3:303,"Jan 3, 2023",8.260877321947156
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 3, 2023",7.533228305370682
Chicago,Chicago,zip3:606-zip3:606,"Jan 3, 2023",28.504980632554197
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 3, 2023",7.277056449815716
Fort Worth,Houston,zip3:761-zip3:770,"Jan 3, 2023",5.730105771455112
Fort Worth,Houston,zip3:761-zip3:772,"Jan 3, 2023",5.90240003881166
Houston,Dallas,zip3:770-zip3:752,"Jan 3, 2023",6.463982983296649
Houston,Dallas,zip3:770-zip3:753,"Jan 3, 2023",6.587024820027671
Houston,Laredo,zip3:770-zip3:780,"Jan 3, 2023",5.7247091093188995
Houston,San Antonio,zip3:770-zip3:782,"Jan 3, 2023",8.056575273034436
Houston,Dallas,zip3:772-zip3:752,"Jan 3, 2023",6.428446324880716
Houston,Dallas,zip3:772-zip3:753,"Jan 3, 2023",6.628655651726432
Houston,Laredo,zip3:772-zip3:780,"Jan 3, 2023",5.755049308069137
Houston,San Antonio,zip3:772-zip3:782,"Jan 3, 2023",7.974011783126206
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 3, 2023",5.76780716932764
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 3, 2023",6.317806688228178
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 3, 2023",5.8115000712604035
Boston,Edison,zip3:021-zip3:088,"Jan 4, 2023",8.97675840102067
Boston,Edison,zip3:022-zip3:088,"Jan 4, 2023",8.785608249110716
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 4, 2023",4.8261166289945
Atlanta,Dallas,zip3:303-zip3:752,"Jan 4, 2023",4.702738121517215
Atlanta,Dallas,zip3:303-zip3:753,"Jan 4, 2023",4.811405656139957
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 4, 2023",11.730698739091903
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 4, 2023",7.828906759350341
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 4, 2023",5.3905246697090625
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 4, 2023",4.567725100487757
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 4, 2023",17.21171630500616
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 4, 2023",7.305156616727318
Chicago,Atlanta,zip3:606-zip3:303,"Jan 4, 2023",8.06074759925184
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 4, 2023",7.536425663867791
Chicago,Chicago,zip3:606-zip3:606,"Jan 4, 2023",28.649416503679745
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 4, 2023",7.367292676257442
Fort Worth,Houston,zip3:761-zip3:770,"Jan 4, 2023",5.700572502373878
Fort Worth,Houston,zip3:761-zip3:772,"Jan 4, 2023",6.31448176336438
Houston,Dallas,zip3:770-zip3:752,"Jan 4, 2023",8.257771202439432
Houston,Dallas,zip3:770-zip3:753,"Jan 4, 2023",8.126449628379081
Houston,Laredo,zip3:770-zip3:780,"Jan 4, 2023",6.218090297124428
Houston,San Antonio,zip3:770-zip3:782,"Jan 4, 2023",7.767582125570822
Houston,Dallas,zip3:772-zip3:752,"Jan 4, 2023",8.531030245948251
Houston,Dallas,zip3:772-zip3:753,"Jan 4, 2023",8.263457060521226
Houston,Laredo,zip3:772-zip3:780,"Jan 4, 2023",6.272753862640551
Houston,San Antonio,zip3:772-zip3:782,"Jan 4, 2023",8.047192366900903
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 4, 2023",4.839491185551955
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 4, 2023",6.385665305679627
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 4, 2023",5.783513031314298
Boston,Edison,zip3:021-zip3:088,"Jan 5, 2023",8.862902653988993
Boston,Edison,zip3:022-zip3:088,"Jan 5, 2023",8.480865751952166
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 5, 2023",5.903056003806104
Atlanta,Dallas,zip3:303-zip3:752,"Jan 5, 2023",4.515112140434754
Atlanta,Dallas,zip3:303-zip3:753,"Jan 5, 2023",4.613218523826504
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 5, 2023",10.527480019918901
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 5, 2023",7.986918302781197
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 5, 2023",5.442621273679157
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 5, 2023",4.87610196224706
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 5, 2023",16.99585065452069
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 5, 2023",6.918313704505374
Chicago,Atlanta,zip3:606-zip3:303,"Jan 5, 2023",8.428511385843212
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 5, 2023",8.281067687340357
Chicago,Chicago,zip3:606-zip3:606,"Jan 5, 2023",28.217581739621856
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 5, 2023",7.243759116946871
Fort Worth,Houston,zip3:761-zip3:770,"Jan 5, 2023",5.440057362258775
Fort Worth,Houston,zip3:761-zip3:772,"Jan 5, 2023",6.469071379159931
Houston,Dallas,zip3:770-zip3:752,"Jan 5, 2023",8.02833732853904
Houston,Dallas,zip3:770-zip3:753,"Jan 5, 2023",7.973662511032095
Houston,Laredo,zip3:770-zip3:780,"Jan 5, 2023",5.791673750633507
Houston,San Antonio,zip3:770-zip3:782,"Jan 5, 2023",7.704499807028263
Houston,Dallas,zip3:772-zip3:752,"Jan 5, 2023",8.013417154296572
Houston,Dallas,zip3:772-zip3:753,"Jan 5, 2023",7.835989167403549
Houston,Laredo,zip3:772-zip3:780,"Jan 5, 2023",5.875566610316687
Houston,San Antonio,zip3:772-zip3:782,"Jan 5, 2023",8.112759696110057
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 5, 2023",4.774217913839765
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 5, 2023",6.220002237551389
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 5, 2023",5.914975450510342
Boston,Edison,zip3:021-zip3:088,"Jan 6, 2023",9.02611195801186
Boston,Edison,zip3:022-zip3:088,"Jan 6, 2023",8.650388769296354
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 6, 2023",5.437542141330704
Atlanta,Dallas,zip3:303-zip3:752,"Jan 6, 2023",4.411581767275067
Atlanta,Dallas,zip3:303-zip3:753,"Jan 6, 2023",4.396190872004395
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 6, 2023",10.718999593974612
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 6, 2023",8.077301436604632
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 6, 2023",5.130564001161943
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 6, 2023",4.856707256400682
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 6, 2023",16.366427766157525
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 6, 2023",7.31340396835716
Chicago,Atlanta,zip3:606-zip3:303,"Jan 6, 2023",8.095804579176034
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 6, 2023",8.114721643307314
Chicago,Chicago,zip3:606-zip3:606,"Jan 6, 2023",28.260592721455136
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 6, 2023",7.452124487683803
Fort Worth,Houston,zip3:761-zip3:770,"Jan 6, 2023",5.3990503119086455
Fort Worth,Houston,zip3:761-zip3:772,"Jan 6, 2023",5.963426121089437
Houston,Dallas,zip3:770-zip3:752,"Jan 6, 2023",7.576616618149419
Houston,Dallas,zip3:770-zip3:753,"Jan 6, 2023",7.60582428446609
Houston,Laredo,zip3:770-zip3:780,"Jan 6, 2023",6.021689290446454
Houston,San Antonio,zip3:770-zip3:782,"Jan 6, 2023",7.507366006459876
Houston,Dallas,zip3:772-zip3:752,"Jan 6, 2023",7.588785315117843
Houston,Dallas,zip3:772-zip3:753,"Jan 6, 2023",7.5722022152797654
Houston,Laredo,zip3:772-zip3:780,"Jan 6, 2023",5.947620888844704
Houston,San Antonio,zip3:772-zip3:782,"Jan 6, 2023",7.567610017026977
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 6, 2023",4.286954664154511
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 6, 2023",6.790539857216848
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 6, 2023",6.080372313366867
Boston,Edison,zip3:021-zip3:088,"Jan 7, 2023",6.586239618114843
Boston,Edison,zip3:022-zip3:088,"Jan 7, 2023",6.574655811464833
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 7, 2023",5.476395676176939
Atlanta,Dallas,zip3:303-zip3:752,"Jan 7, 2023",4.451798066635075
Atlanta,Dallas,zip3:303-zip3:753,"Jan 7, 2023",4.5572564454696
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 7, 2023",12.48817263774582
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 7, 2023",9.71146726819093
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 7, 2023",5.427925628035593
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 7, 2023",4.970570993205152
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 7, 2023",16.53892699572009
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 7, 2023",8.981301274333816
Chicago,Atlanta,zip3:606-zip3:303,"Jan 7, 2023",7.3092597285807095
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 7, 2023",8.427437088750324
Chicago,Chicago,zip3:606-zip3:606,"Jan 7, 2023",27.539223956797777
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 7, 2023",7.3857386430925
Fort Worth,Houston,zip3:761-zip3:770,"Jan 7, 2023",5.9210103036855575
Fort Worth,Houston,zip3:761-zip3:772,"Jan 7, 2023",6.42762116730902
Houston,Dallas,zip3:770-zip3:752,"Jan 7, 2023",7.070426317379017
Houston,Dallas,zip3:770-zip3:753,"Jan 7, 2023",7.022864275859365
Houston,Laredo,zip3:770-zip3:780,"Jan 7, 2023",5.744560423265792
Houston,San Antonio,zip3:770-zip3:782,"Jan 7, 2023",8.5384367609017
Houston,Dallas,zip3:772-zip3:752,"Jan 7, 2023",7.230790236641381
Houston,Dallas,zip3:772-zip3:753,"Jan 7, 2023",7.233847225944193
Houston,Laredo,zip3:772-zip3:780,"Jan 7, 2023",5.838686016616606
Houston,San Antonio,zip3:772-zip3:782,"Jan 7, 2023",8.493366166924153
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 7, 2023",4.210384937608849
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 7, 2023",6.0930878748224835
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 7, 2023",5.631352453141201
Boston,Edison,zip3:021-zip3:088,"Jan 8, 2023",6.665579875824416
Boston,Edison,zip3:022-zip3:088,"Jan 8, 2023",6.19598411080187
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 8, 2023",5.741243030084931
Atlanta,Dallas,zip3:303-zip3:752,"Jan 8, 2023",4.4534142721898675
Atlanta,Dallas,zip3:303-zip3:753,"Jan 8, 2023",4.438164428591273
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 8, 2023",13.080216212631978
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 8, 2023",8.767784081098803
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 8, 2023",4.636697917142385
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 8, 2023",4.884799468738279
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 8, 2023",16.465744959358048
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 8, 2023",7.180173844837247
Chicago,Atlanta,zip3:606-zip3:303,"Jan 8, 2023",7.1721720747371815
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 8, 2023",8.21767788359952
Chicago,Chicago,zip3:606-zip3:606,"Jan 8, 2023",27.72459309538623
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 8, 2023",7.472202823801918
Fort Worth,Houston,zip3:761-zip3:770,"Jan 8, 2023",5.192807171389623
Fort Worth,Houston,zip3:761-zip3:772,"Jan 8, 2023",5.752215490788515
Houston,Dallas,zip3:770-zip3:752,"Jan 8, 2023",6.858605689737049
Houston,Dallas,zip3:770-zip3:753,"Jan 8, 2023",7.127799930253679
Houston,Laredo,zip3:770-zip3:780,"Jan 8, 2023",5.420664700148913
Houston,San Antonio,zip3:770-zip3:782,"Jan 8, 2023",7.128887484486423
Houston,Dallas,zip3:772-zip3:752,"Jan 8, 2023",7.005586369914758
Houston,Dallas,zip3:772-zip3:753,"Jan 8, 2023",6.9945527417932745
Houston,Laredo,zip3:772-zip3:780,"Jan 8, 2023",5.445354061884965
Houston,San Antonio,zip3:772-zip3:782,"Jan 8, 2023",7.234678678679916
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 8, 2023",4.332340327120799
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 8, 2023",6.681937012764341
